id,release_date,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit,Year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,3536852904.0,3111852904.0,2009,tt1775309,Avatar,Abatâ,2011,93.0,Horror,6.1,43
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,1286727750.0,876127750.0,2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",6.6,447624
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,192524700.0,-157475300.0,2019,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"Action,Adventure,Sci-Fi",6.0,24451
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1862019831.0,1531419831.0,2015,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2726949682.0,2426949682.0,2018,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,884969504.0,584969504.0,2017,tt0974015,Justice League,Justice League,2017,120.0,"Action,Adventure,Fantasy",6.5,329135
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,1079695098.0,779695098.0,2015,tt2379713,Spectre,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,1532578198.0,1257578198.0,2012,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164.0,"Action,Thriller",8.4,1387769
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,606918859.0,331918859.0,2018,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy",7.0,226243
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,349304230.0,74304230.0,2013,tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"Action,Adventure,Western",6.4,208827
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,355836779.0,80836779.0,2012,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,787299176.0,527299176.0,2010,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,1548153762.0,1298153762.0,2016,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",7.8,583507
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,1197860475.0,947860475.0,2016,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"Action,Adventure,Fantasy",6.5,576909
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,1320007136.0,1070007136.0,2012,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",7.9,719629
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,1218733710.0,968733710.0,2013,tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,161.0,"Adventure,Fantasy",7.8,565563
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,1200697409.0,950697409.0,2014,tt2310332,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014,144.0,"Adventure,Fantasy",7.4,438621
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,1460611032.0,1210611032.0,2017,tt4630562,The Fate of the Furious,The Fate of the Furious,2017,136.0,"Action,Crime,Thriller",6.7,179774
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,960800013.0,730800013.0,2017,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"Action,Adventure,Fantasy",6.6,228592
27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,2141215444.0,1916215444.0,2012,tt0848228,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,959045036.0,734045036.0,2013,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,1019920930.0,799920930.0,2012,tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi",7.0,525632
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,378711117.0,158711117.0,2012,tt1440129,Battleship,Battleship,2012,131.0,"Action,Adventure,Sci-Fi",5.8,225342
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,733062023.0,516062023.0,2017,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,2017,154.0,"Action,Adventure,Sci-Fi",5.2,119007
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2301125489.0,2086125489.0,2015,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338
35,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,833234339.0,618234339.0,2012,tt1409024,Men in Black 3,Men in Black 3,2012,106.0,"Action,Adventure,Comedy",6.8,309879
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,1349478152.0,1139478152.0,2014,tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,2014,165.0,"Action,Adventure,Sci-Fi",5.7,283486
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,427946154.0,217946154.0,2010,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,427946154.0,217946154.0,2010,tt2363363,Robin Hood,Robin Hood,2013,92.0,"Action,Drama",6.3,78
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,427946154.0,217946154.0,2010,tt4532826,Robin Hood,Robin Hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,427946154.0,217946154.0,2010,tt6858500,Robin Hood,Robin Hood,2018,91.0,Unknown,7.6,5
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2048317790.0,1848317790.0,2018,tt1825683,Black Panther,Black Panther,2018,134.0,"Action,Adventure,Sci-Fi",7.3,516148
43,1997-12-19,Titanic,200000000.0,659363944.0,2208208395.0,2867572339.0,2667572339.0,1997,tt2495766,Titanic,Titanic,2012,91.0,Adventure,6.2,20
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,1851102455.0,1651102455.0,2018,tt3606756,Incredibles 2,Incredibles 2,2018,118.0,"Action,Adventure,Animation",7.7,203510
